description,category,dk_pn,mfr_pn,mfr,qty_shipped,gbp_unit_price,gbp_ext_price,invoice_id,date_shipped,series,product_status,package_type,core_processor,core_type,clock_speed,program_memory_size,other_parameters
CAP ALUM 100UF 20% 6.3V SMD,Aluminum Electrolytic Capacitors,732-8472-1-ND,865080142007,Würth Elektronik,50,£0.13660,£6.83,118719628,2025-12-04T17:52:57.705Z,WCAP-ASLI,Active,Cut Tape (CT),,,,,"{""Capacitance"": ""100 µF"", ""Tolerance"": ""±20%"", ""Voltage - Rated"": ""6.3 V"", ""ESR (Equivalent Series Resistance)"": ""-"", ""Lifetime @ Temp."": ""2000 Hrs @ 105°C"", ""Operating Temperature"": ""-55°C ~ 105°C"", ""Polarization"": ""Polar"", ""Ratings"": ""-"", ""Applications"": ""General Purpose"", ""Ripple Current @ Low Frequency"": ""110.5 mA @ 120 Hz"", ""Ripple Current @ High Frequency"": ""170 mA @ 100 kHz"", ""Impedance"": ""800 mOhms"", ""Lead Spacing"": ""-"", ""Size / Dimension"": ""0.197\"" Dia (5.00mm)"", ""Height - Seated (Max)"": ""0.217\"" (5.50mm)"", ""Surface Mount Land Size"": ""0.209\"" L x 0.209\"" W (5.30mm x 5.30mm)"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""Radial, Can - SMD""}"
CAP ALUM 470UF 20% 16V SMD,Aluminum Electrolytic Capacitors,493-2181-1-ND,UWT1C471MNL1GS,Nichicon,50,£0.19700,£9.85,118719628,2025-12-04T17:52:57.705Z,UWT,Active,Cut Tape (CT),,,,,"{""Capacitance"": ""470 µF"", ""Tolerance"": ""±20%"", ""Voltage - Rated"": ""16 V"", ""ESR (Equivalent Series Resistance)"": ""-"", ""Lifetime @ Temp."": ""1000 Hrs @ 105°C"", ""Operating Temperature"": ""-55°C ~ 105°C"", ""Polarization"": ""Polar"", ""Ratings"": ""AEC-Q200"", ""Applications"": ""General Purpose"", ""Ripple Current @ Low Frequency"": ""230 mA @ 120 Hz"", ""Ripple Current @ High Frequency"": ""345 mA @ 10 kHz"", ""Lead Spacing"": ""-"", ""Size / Dimension"": ""0.315\"" Dia (8.00mm)"", ""Height - Seated (Max)"": ""0.394\"" (10.00mm)"", ""Surface Mount Land Size"": ""0.327\"" L x 0.327\"" W (8.30mm x 8.30mm)"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""Radial, Can - SMD""}"
CAP CER 100UF 6.3V X6T 1206,Ceramic Capacitors,490-GRM31CD80J107MEA8KCT-ND,GRM31CD80J107MEA8K,Murata Electronics,50,£0.15460,£7.73,118719628,2025-12-04T17:52:57.705Z,GRM,Active,Cut Tape (CT),,,,,"{""Capacitance"": ""100 µF"", ""Tolerance"": ""±20%"", ""Voltage - Rated"": ""6.3V"", ""Temperature Coefficient"": ""X6T"", ""Operating Temperature"": ""-55°C ~ 105°C"", ""Features"": ""-"", ""Ratings"": ""-"", ""Applications"": ""General Purpose"", ""Failure Rate"": ""-"", ""Mounting Type"": ""Surface Mount, MLCC"", ""Package / Case"": ""1206 (3216 Metric)"", ""Size / Dimension"": ""0.126\"" L x 0.063\"" W (3.20mm x 1.60mm)"", ""Height - Seated (Max)"": ""-"", ""Thickness (Max)"": ""0.075\"" (1.90mm)"", ""Lead Spacing"": ""-"", ""Lead Style"": ""-""}"
CAP CER 2000PF 50V C0G/NP0 0603,Ceramic Capacitors,490-GCM1885C1H202JA16DCT-ND,GCM1885C1H202JA16D,Murata Electronics,500,£0.01506,£7.53,118719628,2025-12-04T17:52:57.705Z,GCM,Active,Cut Tape (CT),,,,,"{""Capacitance"": ""2000 pF"", ""Tolerance"": ""±5%"", ""Voltage - Rated"": ""50V"", ""Temperature Coefficient"": ""C0G, NP0"", ""Operating Temperature"": ""-55°C ~ 125°C"", ""Features"": ""-"", ""Ratings"": ""AEC-Q200"", ""Applications"": ""Automotive"", ""Failure Rate"": ""-"", ""Mounting Type"": ""Surface Mount, MLCC"", ""Package / Case"": ""0603 (1608 Metric)"", ""Size / Dimension"": ""0.063\"" L x 0.031\"" W (1.60mm x 0.80mm)"", ""Height - Seated (Max)"": ""-"", ""Thickness (Max)"": ""0.035\"" (0.90mm)"", ""Lead Spacing"": ""-"", ""Lead Style"": ""-""}"
CAP CER 120PF 50V C0G/NPO 0603,Ceramic Capacitors,311-1070-1-ND,CC0603JRNPO9BN121,YAGEO,100,£0.01840,£1.84,118719628,2025-12-04T17:52:57.705Z,CC,Active,Cut Tape (CT),,,,,"{""Capacitance"": ""120 pF"", ""Tolerance"": ""±5%"", ""Voltage - Rated"": ""50V"", ""Temperature Coefficient"": ""C0G, NP0"", ""Operating Temperature"": ""-55°C ~ 125°C"", ""Features"": ""-"", ""Ratings"": ""-"", ""Applications"": ""General Purpose"", ""Failure Rate"": ""-"", ""Mounting Type"": ""Surface Mount, MLCC"", ""Package / Case"": ""0603 (1608 Metric)"", ""Size / Dimension"": ""0.063\"" L x 0.031\"" W (1.60mm x 0.80mm)"", ""Height - Seated (Max)"": ""-"", ""Thickness (Max)"": ""0.035\"" (0.90mm)"", ""Lead Spacing"": ""-"", ""Lead Style"": ""-""}"
CAP CER 4700PF 50V X7R 0603,Ceramic Capacitors,720-1530-1-ND,VJ0603Y472KXACW1BC,Vishay Vitramon,500,£0.01282,£6.41,118719628,2025-12-04T17:52:57.705Z,VJ W1BC,Active,Cut Tape (CT),,,,,"{""Capacitance"": ""4700 pF"", ""Tolerance"": ""±10%"", ""Voltage - Rated"": ""50V"", ""Temperature Coefficient"": ""X7R"", ""Operating Temperature"": ""-55°C ~ 125°C"", ""Features"": ""-"", ""Ratings"": ""-"", ""Applications"": ""General Purpose"", ""Mounting Type"": ""Surface Mount, MLCC"", ""Package / Case"": ""0603 (1608 Metric)"", ""Size / Dimension"": ""0.063\"" L x 0.031\"" W (1.60mm x 0.80mm)"", ""Height - Seated (Max)"": ""-"", ""Thickness (Max)"": ""0.035\"" (0.90mm)"", ""Lead Spacing"": ""-"", ""Lead Style"": ""-""}"
CAP CER 0.027UF 50V X7R 0603,Ceramic Capacitors,13-CC0603KPX7R9BB273CT-ND,CC0603KPX7R9BB273,YAGEO,100,£0.02570,£2.57,118719628,2025-12-04T17:52:57.705Z,CC,Active,Cut Tape (CT),,,,,"{""Capacitance"": ""0.027 µF"", ""Tolerance"": ""±10%"", ""Voltage - Rated"": ""50V"", ""Temperature Coefficient"": ""X7R"", ""Operating Temperature"": ""-55°C ~ 125°C"", ""Features"": ""-"", ""Ratings"": ""-"", ""Applications"": ""General Purpose"", ""Failure Rate"": ""-"", ""Mounting Type"": ""Surface Mount, MLCC"", ""Package / Case"": ""0603 (1608 Metric)"", ""Size / Dimension"": ""0.063\"" L x 0.031\"" W (1.60mm x 0.80mm)"", ""Height - Seated (Max)"": ""-"", ""Thickness (Max)"": ""-"", ""Lead Spacing"": ""-"", ""Lead Style"": ""-""}"
TVS DIODE 12VWM 25VC SOD523,Transient Voltage Suppressors (TVS),ESD12VD5-TPMSCT-ND,ESD12VD5-TP,MCC (Micro Commercial Components),100,£0.03380,£3.38,118719628,2025-12-04T17:52:57.705Z,-,Active,Cut Tape (CT),,,,,"{""Type"": ""Zener"", ""Unidirectional Channels"": ""1"", ""Voltage - Reverse Standoff (Typ)"": ""12V (Max)"", ""Voltage - Breakdown (Min)"": ""14.1V"", ""Voltage - Clamping (Max) @ Ipp"": ""25V"", ""Current - Peak Pulse (10/1000µs)"": ""9.6A (8/20µs)"", ""Power - Peak Pulse"": ""240W"", ""Power Line Protection"": ""No"", ""Applications"": ""General Purpose"", ""Capacitance @ Frequency"": ""55pF @ 1MHz"", ""Operating Temperature"": ""-55°C ~ 150°C (TJ)"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""SC-79, SOD-523"", ""Supplier Device Package"": ""SOD-523""}"
IC MAG COMPARATOR 4BIT 16-SOIC,Logic,296-CD4063BM96CT-ND,CD4063BM96,Texas Instruments,50,£0.22240,£11.12,118719628,2025-12-04T17:52:57.705Z,4000B,Active,Cut Tape (CT),,,,,"{""Type"": ""Magnitude Comparator"", ""Number of Bits"": ""4"", ""Output"": ""Active High"", ""Output Function"": ""A<B, A=B, A>B"", ""Voltage - Supply"": ""3V ~ 18V"", ""Current - Output High, Low"": ""4.2mA, 4.2mA"", ""Max Propagation Delay @ V, Max CL"": ""350ns @ 15V, 50pF"", ""Current - Quiescent (Iq)"": ""100 µA"", ""Operating Temperature"": ""-55°C ~ 125°C"", ""Grade"": ""-"", ""Qualification"": ""-"", ""Package / Case"": ""16-SOIC (0.154\"", 3.90mm Width)"", ""Supplier Device Package"": ""16-SOIC"", ""Mounting Type"": ""Surface Mount""}"
MOSFET N-CH 30V 900MA SOT23,Transistors,31-DMN3731U-13CT-ND,DMN3731U-13,Diodes Incorporated,150,£0.06320,£9.48,118719628,2025-12-04T17:52:57.705Z,-,Active,Cut Tape (CT),,,,,"{""FET Type"": ""N-Channel"", ""Technology"": ""MOSFET (Metal Oxide)"", ""Drain to Source Voltage (Vdss)"": ""30 V"", ""Current - Continuous Drain (Id) @ 25°C"": ""900mA (Ta)"", ""Drive Voltage (Max Rds On, Min Rds On)"": ""1.8V, 4.5V"", ""Rds On (Max) @ Id, Vgs"": ""460mOhm @ 200mA, 4.5V"", ""Vgs(th) (Max) @ Id"": ""950mV @ 250µA"", ""Gate Charge (Qg) (Max) @ Vgs"": ""5.5 nC @ 4.5 V"", ""Vgs (Max)"": ""±8V"", ""Input Capacitance (Ciss) (Max) @ Vds"": ""73 pF @ 25 V"", ""FET Feature"": ""-"", ""Power Dissipation (Max)"": ""400mW"", ""Operating Temperature"": ""-55°C ~ 150°C (TJ)"", ""Grade"": ""-"", ""Qualification"": ""-"", ""Mounting Type"": ""Surface Mount"", ""Supplier Device Package"": ""SOT-23-3"", ""Package / Case"": ""TO-236-3, SC-59, SOT-23-3""}"
TVS DIODE 5VWM 18.6VC SOD523,Transient Voltage Suppressors (TVS),ESD5V0D5-TPMSCT-ND,ESD5V0D5-TP,MCC (Micro Commercial Components),100,£0.04300,£4.30,118719628,2025-12-04T17:52:57.705Z,-,Active,Cut Tape (CT),,,,,"{""Type"": ""Zener"", ""Unidirectional Channels"": ""1"", ""Voltage - Reverse Standoff (Typ)"": ""5V (Max)"", ""Voltage - Breakdown (Min)"": ""6.2V"", ""Voltage - Clamping (Max) @ Ipp"": ""18.6V"", ""Current - Peak Pulse (10/1000µs)"": ""11.6A (8/20µs)"", ""Power - Peak Pulse"": ""174W"", ""Power Line Protection"": ""No"", ""Applications"": ""General Purpose"", ""Capacitance @ Frequency"": ""80pF @ 1MHz"", ""Operating Temperature"": ""-55°C ~ 150°C (TJ)"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""SC-79, SOD-523"", ""Supplier Device Package"": ""SOD-523""}"
DIODE ZENER 3.3V 150MW EMD2,Diodes,EDZVT2R3.3BCT-ND,EDZVT2R3.3B,Rohm Semiconductor,100,£0.03680,£3.68,118719628,2025-12-04T17:52:57.705Z,EDZV,Active,Cut Tape (CT),,,,,"{""Voltage - Zener (Nom) (Vz)"": ""3.3 V"", ""Tolerance"": ""-"", ""Power - Max"": ""150 mW"", ""Impedance (Max) (Zzt)"": ""120 Ohms"", ""Current - Reverse Leakage @ Vr"": ""20 µA @ 1 V"", ""Operating Temperature"": ""-55°C ~ 150°C"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""SC-79, SOD-523"", ""Supplier Device Package"": ""EMD2""}"
DIODE ZENER 5.6V 300MW SOD323,Diodes,MM3Z5V6ST1GOSCT-ND,MM3Z5V6ST1G,onsemi,100,£0.02610,£2.61,118719628,2025-12-04T17:52:57.705Z,-,Active,Cut Tape (CT),,,,,"{""Voltage - Zener (Nom) (Vz)"": ""5.6 V"", ""Tolerance"": ""±2%"", ""Power - Max"": ""300 mW"", ""Impedance (Max) (Zzt)"": ""40 Ohms"", ""Current - Reverse Leakage @ Vr"": ""1 µA @ 2 V"", ""Voltage - Forward (Vf) (Max) @ If"": ""900 mV @ 10 mA"", ""Operating Temperature"": ""-65°C ~ 150°C (TJ)"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""SC-76, SOD-323"", ""Supplier Device Package"": ""SOD-323""}"
